performance_id,employee_id,review_period,performance_score,kpi_score,feedback_notes
1,1,H1-2022,5,4.7,Set rather special a student.
2,1,H2-2024,5,3.2,Detail PM area man memory gas.
3,2,H2-2023,3,3.2,Computer base require film wear get.
4,2,H1-2023,4,4.6,Black life bit be eight.
5,3,H2-2023,4,4.3,Official different book.
6,4,H1-2024,4,3.7,Lead situation information.
7,4,H1-2023,5,4.1,Property close open expect around air.
8,5,H2-2022,3,3.4,Vote race cell table down any.
9,6,H1-2024,5,4.7,Help own friend task suggest.
10,7,H2-2024,4,5,Activity story enough especially.
11,7,H2-2023,3,4.6,Quickly over allow different I town north country.
12,8,H2-2022,5,2.9,Opportunity somebody never care relate.
13,9,H1-2024,3,4.8,Dog activity voice training season interview.
14,9,H1-2023,5,2.8,Arrive effort more firm like movement task around.
15,10,H1-2022,5,4.9,Management meeting collection.
16,10,H2-2022,3,3.1,Food help someone minute minute detail something.
17,11,H1-2022,5,4.9,Third memory research.
18,11,H1-2023,5,2.8,May call just use.
19,12,H1-2022,5,4,Suddenly official none hand break trouble family.
20,13,H1-2022,3,2.6,Option body think nation quite main trade.
21,14,H1-2022,4,4.7,Father early surface seat.
22,14,H2-2023,3,2.9,Yourself share fast.
23,15,H2-2023,5,2,Put or base indeed.
24,15,H2-2022,5,3.5,Cultural street west.
25,16,H2-2024,4,3.2,Low week entire anything partner newspaper present final.
26,16,H1-2022,3,3.7,Really watch special stuff.
27,17,H2-2022,4,3.6,Sometimes reduce mother power trade understand.
28,18,H1-2023,4,2.1,Democrat phone size black whether high culture.
29,18,H2-2023,3,4,Knowledge world board guess any such share.
30,19,H1-2024,5,3.7,Cover conference environmental.
31,19,H2-2024,5,3.2,Girl or trip or reflect over.
32,20,H1-2023,4,4.6,Travel bring provide oil.
33,21,H1-2024,3,3.8,Hundred soldier within law nature develop middle.
34,21,H2-2024,3,4.7,Story have form how stand receive wish.
35,22,H1-2024,5,3.8,Born phone way ago toward myself design.
36,23,H2-2022,4,3,Adult common short break development though describe.
37,24,H1-2022,4,2.9,Yard local Republican though case including just detail.
38,24,H1-2023,4,2.9,Official attack yes professional.
39,25,H1-2024,5,3.5,Dream pressure again much this small.
40,25,H2-2022,5,3.3,Service interesting many worry foot offer.
41,26,H2-2024,5,2.8,Effort my offer.
42,27,H1-2022,4,3.7,Mouth possible culture stuff star argue.
43,27,H1-2023,3,2.3,Drive ground finish risk few.
44,28,H2-2022,3,4.6,Term care we.
45,29,H1-2024,3,3.1,Yes job your occur by machine investment.
46,29,H1-2022,5,4.5,Economic ground light training.
47,30,H2-2023,3,3.5,Majority small instead.
48,31,H2-2023,5,3.2,Very actually front sort travel window former successful.
49,32,H2-2022,4,2.2,Beyond bed pattern.
50,33,H2-2024,4,4,Claim region suffer section door article court majority.
51,33,H2-2023,4,4.1,Guy present industry to.
52,34,H1-2024,5,2.9,Let arm performance see even.
53,34,H2-2024,4,3.6,One stock although market high agreement career.
54,35,H2-2023,4,2.1,Message beyond audience themselves recently executive.
55,36,H1-2023,3,4.2,Join concern tough certainly them traditional performance.
56,37,H2-2024,5,3.1,Data including life life local another energy.
57,38,H2-2024,5,4.8,Likely opportunity main hair blue matter.
58,38,H1-2023,3,4.8,Sea want maybe word yourself.
59,39,H1-2023,4,2.4,Country style good particular.
60,40,H1-2023,4,3.8,Teach commercial school address bill population clearly.
61,40,H1-2022,3,4,Consumer approach hot include better painting sit.
62,41,H1-2023,5,3.7,Design success sister never.
63,41,H2-2022,4,3.8,Stage measure life explain line interesting.
64,42,H2-2023,5,4.1,Weight sister senior item enjoy happy.
65,43,H2-2023,5,3,Church road their control.
66,44,H1-2023,3,2.3,What pattern very go sound.
67,45,H2-2024,4,3.7,Price dinner group goal control.
68,46,H1-2023,4,4,Put fact crime her.
69,47,H1-2022,4,3.2,Day explain pressure challenge act.
70,48,H2-2022,5,4,Responsibility drive significant eight ability.
71,49,H1-2023,3,3.2,Question attack audience still true specific attack.
72,50,H2-2023,4,2.3,Defense true us.
73,51,H1-2023,4,4.9,Ahead drive ask.
74,51,H2-2023,3,3.5,Area budget create wind.
75,52,H1-2023,4,4.4,Mind side nation.
76,52,H1-2024,3,3,Prove rather bed behavior.
77,53,H2-2024,3,2.2,Some dark effort eight future those coach.
78,54,H1-2023,5,2.5,College loss very produce.
79,54,H2-2023,3,3.1,Strong leader away garden way.
80,55,H2-2024,5,2.7,Air sign beautiful sign major we read.
81,55,H1-2023,4,4.5,With team soldier size walk stock.
82,56,H1-2024,5,2.9,Whole financial sing right value black never.
83,56,H1-2022,5,2.6,Why two business main throw.
84,57,H1-2022,5,3.5,Recently present spring off issue.
85,58,H2-2022,3,3.7,Current push man information.
86,59,H2-2022,4,3.5,Wear run prevent win away president care soldier.
87,59,H1-2024,3,3.2,Recognize special way during.
88,60,H2-2024,5,4.9,Bar attack question listen ahead.
89,60,H2-2023,5,2.8,Take Congress she.
90,61,H2-2023,4,4.2,Within local everything out big.
91,62,H2-2022,3,3.2,Let hope work American adult clearly these.
92,63,H2-2024,3,4.7,Church walk part mother middle music would.
93,64,H2-2024,3,2.4,Key front person agree.
94,65,H1-2024,4,3.5,Pay available speak painting name drug price.
95,65,H2-2022,3,2.6,Name create rise assume experience.
96,66,H1-2024,4,3.8,Try magazine tend cell leader some.
97,67,H1-2024,3,3.7,West thing finally picture program.
98,68,H2-2024,4,2.2,Significant ahead number chair write.
99,68,H2-2022,3,2.7,Determine store situation employee.
100,69,H1-2022,5,4.7,Choose wonder of image.
101,70,H2-2023,4,4,Term market country stock.
102,70,H1-2024,5,2,Along always nearly improve.
103,71,H2-2022,4,3.4,Cultural group different event.
104,72,H2-2023,4,4.2,You say air decade quite according trial factor.
105,72,H2-2022,3,3.4,Although night accept begin forward chair.
106,73,H1-2022,4,4.2,Blood group someone father now as no.
107,74,H2-2023,5,4.9,Development important organization economy weight.
108,75,H2-2022,4,2,Tree able education week.
109,76,H2-2024,5,4,Instead option happen family.
110,76,H1-2022,3,4.5,How not finish task identify we billion hotel.
111,77,H1-2022,3,2.3,Very name six know.
112,78,H2-2022,4,3.7,Also real green scene shake war idea.
113,78,H1-2023,5,2.8,Serve raise blue focus everything process as.
114,79,H1-2023,4,4.9,Player community reach hand.
115,80,H1-2022,3,3.6,Oil decide modern.
116,80,H1-2023,3,2.8,Scene blood leave news.
117,81,H1-2024,3,4.4,Occur miss recent agent agency while career risk.
118,81,H2-2023,4,2.6,Article spend feeling better use recently record.
119,82,H1-2023,4,4.3,Among water page will serious stage down.
120,83,H2-2022,4,2,Soldier smile middle either.
121,84,H1-2023,4,3.7,Television strategy town be clearly store game.
122,85,H1-2024,3,4,Collection sometimes size board federal.
123,86,H1-2022,5,3.5,Most always each product be city.
124,87,H2-2022,6,2.7,Time ask baby resource.
125,87,H2-2024,4,2.9,Reality summer member key fall benefit.
126,88,H1-2022,5,3,Support imagine kind never.
127,89,H2-2022,4,2.1,Whether require want play bar talk remember today.
128,89,H1-2024,3,4.1,Trade enough finish.
