turnover_id,employee_id,termination_date,reason_id,exit_interview_notes
1,1,2024-12-28,5,Prove improve any citizen officer.
2,4,2023-02-09,3,Decision speech him single at.
3,15,2022-06-22,4,There cup behavior Republican most may assume.
4,33,2024-09-02,1,Leg hope benefit check give drug join.
5,37,2023-06-18,7,Become president part.
6,44,2023-03-30,5,About story organization visit.
7,46,2024-06-23,3,Discuss everyone rather plant evening.
8,48,2024-07-02,6,Good one become trip outside too attack.
9,51,2024-07-19,2,Blue identify teach then news here.
10,53,2023-04-12,2,Impact step improve manage ok.
11,57,2023-09-29,5,Address hard sing.
12,60,2023-08-05,7,Rock authority various drive stage stuff.
13,61,2022-06-17,5,Remember someone despite student later fire whole deep.
14,62,2023-12-20,2,Discussion take police paper part according.
15,67,2023-12-29,7,Less without kind.
16,70,2024-05-03,6,Increase west special news place.
17,74,2023-12-20,4,Baby sort happy smile similar break easy.
18,75,2024-07-30,4,Speak class attorney.
19,80,2024-03-30,6,Thing also will consider ago.
20,83,2022-12-05,6,Choose inside into dream moment leg always.
21,90,2024-03-06,4,Politics business same matter institution direction.
22,93,2023-08-03,2,Role north organization must.
23,96,2022-10-05,5,Kid hear spring laugh.
24,97,2024-10-20,7,Smile effort find yet watch.
25,98,2022-07-14,6,Hundred usually throughout be call require side.
26,102,2024-03-19,4,Personal majority career risk.
27,104,2022-01-02,1,Front study sound training those only fire.
28,110,2021-12-27,1,Police name within instead worry watch red.
29,112,2024-08-18,1,Gun join short live bad apply day.
30,116,2023-12-22,1,Health mind move serious.
31,124,2022-01-14,6,Technology stand age my.
32,148,2024-04-15,7,Center management finish provide sing anything.
33,151,2024-11-22,4,Each animal best remain speech she citizen.
34,154,2024-10-22,3,Prove explain child drop media.
35,156,2023-10-15,2,Budget happen issue firm list decision.
36,162,2024-09-07,6,Thus million act strategy really cover describe.
37,163,2022-05-13,5,Eye learn that.
38,164,2021-08-03,4,Clear reason leg tell charge leg fast.
39,170,2024-02-21,5,Say page increase test whatever.
40,178,2022-07-23,4,Her thought wonder memory door.
41,180,2024-05-12,3,Thus likely recent bring present child have manage.
42,184,2022-11-27,7,Eat reason technology small dark indicate.
43,189,2023-05-01,6,Know few director though night fill dinner.
44,201,2023-12-16,7,Somebody more girl serve right meet.
45,206,2025-01-24,5,Huge pressure you five move tough half.
46,207,2025-02-11,5,Half art tree heart stop while have.
47,211,2021-12-16,3,Cold TV company top often open between.
48,217,2023-09-04,5,Seek dark return boy reduce follow.
49,221,2023-09-28,3,Day season magazine.
50,231,2022-01-14,3,Development if generation ability race.
51,239,2023-12-30,1,Try person authority understand strategy.
52,240,2022-01-07,5,Ahead suddenly article game visit occur.
53,241,2024-12-26,1,Artist until popular star social.
54,242,2023-02-04,4,Prepare party customer wrong talk.
55,251,2022-10-26,3,Avoid put power rule.
56,253,2024-10-07,3,Miss issue road however a from find.
57,256,2023-10-26,3,Why down sport director bed study.
58,259,2023-07-26,7,So production house include professional.
59,265,2021-12-03,2,Agent keep account suggest data.
60,267,2022-05-13,5,Change really analysis.
61,270,2024-08-06,5,Make human benefit memory out.
62,276,2023-12-22,2,Home most green call.
63,287,2022-10-17,1,Action despite life phone.
64,293,2024-11-15,3,Bed pretty always ground.
65,294,2024-10-28,7,Brother yet around small particular.
66,302,2024-03-14,5,Change position ever year difference year catch.
67,305,2024-10-19,5,Fish ground design happen without.
68,310,2024-11-20,1,Great growth trial real story black environment.
69,319,2024-02-02,3,Unit onto audience.
70,325,2023-09-22,3,End rich thousand pass.
71,326,2021-03-09,5,Study yeah fact since how.
72,328,2025-02-23,5,Me several commercial attention sister check difficult some.
73,329,2024-02-14,7,Different nature difference tax sister rock leave.
74,340,2023-06-28,7,Meeting somebody enough what best identify.
75,349,2022-03-28,2,Ever require onto specific I.
